,NUMERO_EKOGUI,ID_ENTIDAD,PROBA_FAVORABLE,CATEGORIA_PREDICCION
113616,130271,227,0.8177339901,FAVORABLE
113332,130167,227,0.6521400778,FAVORABLE
205469,224342,405,0.1223021583,DESFAVORABLE
162463,176311,114,0.2547425474,DESFAVORABLE
96197,124134,245,0.8177339901,FAVORABLE
246506,286392,238,0.6521400778,FAVORABLE
619557,942284,147,0.9622641509,FAVORABLE
526552,777629,405,0.1223021583,DESFAVORABLE
184807,2025462,356,0.2981651376,DESFAVORABLE
633158,976649,124,0.277486911,DESFAVORABLE
325575,439683,114,0.2547425474,DESFAVORABLE
434471,613219,405,0.3390342052,DESFAVORABLE
575297,876304,197,0.6521400778,FAVORABLE
138720,144428,232,0.6521400778,FAVORABLE
603920,91995,124,0.3942857143,DESFAVORABLE
20876,104784,232,0.6521400778,FAVORABLE
642114,999341,405,0.1223021583,DESFAVORABLE
108665,1283764,405,0.1223021583,DESFAVORABLE
399434,556262,356,0.4208037825,DESFAVORABLE
552091,82992,124,0.277486911,DESFAVORABLE
533953,793599,356,0.4208037825,DESFAVORABLE
70251,1169976,405,0.1223021583,DESFAVORABLE
579626,884659,124,0.277486911,DESFAVORABLE
351136,484544,405,0.1223021583,DESFAVORABLE
641053,996400,114,0.1785714286,DESFAVORABLE
547864,821235,433,0.357827476,DESFAVORABLE
408676,572097,405,0.1223021583,DESFAVORABLE
223970,249883,405,0.1223021583,DESFAVORABLE
